"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"074","","","","C","","00:03:09:08","00:03:09:09","00:00:00:01","00:03:09:08","00:03:09:09","","","","","","","0.000","","Pink","TagOn.Activation #36","",""
"075","","","","C","","00:03:10:23","00:03:10:24","00:00:00:01","00:03:10:23","00:03:10:24","","","","","","","0.000","","Yellow","AB6 Single Tag1.1 (Y-)","",""
"076","","","","C","","00:03:25:12","00:03:25:13","00:00:00:01","00:03:25:12","00:03:25:13","","","","","","","0.000","","Green","TagOn #36","",""
"077","","","","C","","00:03:26:12","00:03:26:13","00:00:00:01","00:03:26:12","00:03:26:13","","","","","","","0.000","","Pink","TagOn.Activation #37","",""
"078","","","","C","","00:03:28:08","00:03:28:09","00:00:00:01","00:03:28:08","00:03:28:09","","","","","","","0.000","","Green","TagOn #37","",""
"079","","","","C","","00:03:29:15","00:03:29:16","00:00:00:01","00:03:29:15","00:03:29:16","","","","","","","0.000","","Pink","TagOn.Activation #38","",""
"080","","","","C","","00:03:31:06","00:03:31:07","00:00:00:01","00:03:31:06","00:03:31:07","","","","","","","0.000","","Green","TagOn #38","",""
"081","","","","C","","00:03:32:16","00:03:32:17","00:00:00:01","00:03:32:16","00:03:32:17","","","","","","","0.000","","Pink","TagOn.Activation #38","",""
"082","","","","C","","00:03:34:10","00:03:34:11","00:00:00:01","00:03:34:10","00:03:34:11","","","","","","","0.000","","Green","TagOn #39","",""
"083","","","","C","","00:03:35:16","00:03:35:17","00:00:00:01","00:03:35:16","00:03:35:17","","","","","","","0.000","","Pink","TagOn.Activation #39","",""
"084","","","","C","","00:03:37:04","00:03:37:05","00:00:00:01","00:03:37:04","00:03:37:05","","","","","","","0.000","","Red","Error-start #3","",""
"085","","","","C","","00:03:39:07","00:03:39:08","00:00:00:01","00:03:39:07","00:03:39:08","","","","","","","0.000","","Red","Error-end #3","",""
"086","","","","C","","00:03:40:08","00:03:40:09","00:00:00:01","00:03:40:08","00:03:40:09","","","","","","","0.000","","Green","TagOn #40","",""
"087","","","","C","","00:03:41:15","00:03:41:16","00:00:00:01","00:03:41:15","00:03:41:16","","","","","","","0.000","","Pink","TagOn.Activation #40","",""
"088","","","","C","","00:03:43:14","00:03:43:15","00:00:00:01","00:03:43:14","00:03:43:15","","","","","","","0.000","","Green","TagOn #41","",""
"089","","","","C","","00:03:44:14","00:03:44:15","00:00:00:01","00:03:44:14","00:03:44:15","","","","","","","0.000","","Pink","TagOn.Activation #41","",""
"090","","","","C","","00:03:45:27","00:03:45:28","00:00:00:01","00:03:45:27","00:03:45:28","","","","","","","0.000","","Green","TagOn #42","",""
"091","","","","C","","00:03:46:13","00:03:46:14","00:00:00:01","00:03:46:13","00:03:46:14","","","","","","","0.000","","Pink","TagOn.Activation #43","",""
"092","","","","C","","00:03:48:01","00:03:48:02","00:00:00:01","00:03:48:01","00:03:48:02","","","","","","","0.000","","Green","TagOn #43","",""
"093","","","","C","","00:03:48:15","00:03:48:16","00:00:00:01","00:03:48:15","00:03:48:16","","","","","","","0.000","","Pink","TagOn.Activation #44","",""
"094","","","","C","","00:03:50:03","00:03:50:04","00:00:00:01","00:03:50:03","00:03:50:04","","","","","","","0.000","","Red","Error-start #4","",""
"095","","","","C","","00:03:51:20","00:03:51:21","00:00:00:01","00:03:51:20","00:03:51:21","","","","","","","0.000","","Red","Error-end #4","",""
"096","","","","C","","00:03:52:10","00:03:52:11","00:00:00:01","00:03:52:10","00:03:52:11","","","","","","","0.000","","Green","TagOn #44","",""
"097","","","","C","","00:03:53:13","00:03:53:14","00:00:00:01","00:03:53:13","00:03:53:14","","","","","","","0.000","","Pink","TagOn.Activation #45","",""
"098","","","","C","","00:03:55:18","00:03:55:19","00:00:00:01","00:03:55:18","00:03:55:19","","","","","","","0.000","","Green","TagOn #45","",""
"099","","","","C","","00:03:56:13","00:03:56:14","00:00:00:01","00:03:56:13","00:03:56:14","","","","","","","0.000","","Pink","TagOn.Activation #46","",""
"100","","","","C","","00:03:57:24","00:03:57:25","00:00:00:01","00:03:57:24","00:03:57:25","","","","","","","0.000","","Yellow","AB6 Single Tag1.1 (Z+)","",""
"101","","","","C","","00:04:10:14","00:04:10:15","00:00:00:01","00:04:10:14","00:04:10:15","","","","","","","0.000","","Green","TagOn #46","",""
